Graz 99ers
Vienna Capitals
EC KAC
EC Salzburg
HCB SŸdtirol
Fehervar AV 19
HC Znojmo
Bornbirn Bulldogs
HC Innsbruck
EC VSV
KHL Medvescak Zagreb
